method,objective,time,a,b,eta,omega
vanila,identity,1,1,0,0
axis independent,both,polydec,1,1,25,0.2
axis independent,vun,polydec,1,1,50,2
axis independent,ratio,polydec,1,1,25,0.01
gp,both,continuous,0.2,4.211,200,2
gp,vun,continuous,0.534,4.363542,61.623,1.167
gp,ratio,continuous,5,3.894,0,0
hebo,both,continuous,0.2,2.156,100,0
hebo,vun,continuous,0.213,3.928,156.481,0.658
hebo,ratio,continuous,2.473,4.306,184.467,1.45
